[main_menu]|en|fi|pt|ru|zh|ja|ko|de
runewords|Runewords|Riimusanat|Runewords|Runewords|符文装备|Runewords|Runewords|Runewords
any_base_item|Any base item|Mikä tahansa pohja|Any base item|Any base item|Any base item|Any base item|Any base item|Any base item
toy_bear|Toy Bear|Lelunalle|Toy Bear|Toy Bear|Toy Bear|Toy Bear|Toy Bear|Toy Bear
tier|Tier|Taso|Tier|Tier|Tier|Tier|Tier|Tier
||||||||
[crafting]||||||||
craft_ability_token|Craft Ability Token|Valmista Taitopoletti|Criar símbolo de habilidade|Создать Жетон Способностей|工艺能力令牌|クラフト能力トークン|공예 능력 토큰|Fähigkeitsmarke
craft_copper_ore|Craft Copper Ore|Valmista Kuparimalmia|Artesanato de minério de cobre|Создать Медную Руду|工艺铜矿|クラフト銅鉱石|구리 광석 제작|Kupfererz
craft_crystal_key|Craft Crystal Key|Valmista Kristalliavain|chave de cristal artesanal|Создать Кристальный Ключ|工艺水晶钥匙|クラフトクリスタルキー|공예 크리스탈 열쇠|Kristallschlüssel
craft_gold_ore|Craft Gold Ore|Valmista Kultamalmia|artesanato de minério de ouro|Создать Золотую Руду|工艺金矿|金鉱石を作る|금광석 제작|Golderz
craft_iron_ore|Craft Iron Ore|Valmista Rautamalmia|minério de ferro artesanal|Создать Железную Руду|工艺铁矿石|クラフト鉄鉱石|철광석 공예|Eisenerz
craft_key|Craft Key|Valmista Avain|chave artesanal|Создать Ключ|工艺钥匙|クラフトキー|공예 키|Schlüssel
craft_merge_leg_powder|Merge Legendary Powder|Yhdistä Myyttinen pulveri|mesclar pó lendário|Переработать Легендарный порошок|合并传奇粉|伝説のパウダーをマージ|전설의 가루를 합치다|Pulver mischen
craft_random_rare|Craft random Rare item|Valmista satunnainen Harvinainen esine|criar item raro aleatório|Случайный Редкий предмет|工艺随机稀有物品|ランダムレアアイテムを作る|랜덤 레어 아이템 제작|Zufälliger Seltener Gegenstand
craft_random_legendary|Craft random Legendary item|Valmista satunnainen Legendaarinen esine|criar item lendário aleatório|Случайный Легендарный предмет|工艺随机的传奇物品|ランダムな伝説のアイテムを作る|무작위 전설 아이템 제작|Zufälliger Legendärer Gegenstand
craft_random_mythical|Craft random Mythical item|Valmista satunnainen Myyttinen esine|criar item mítico aleatório|Случайный Мифический предмет|工艺随机的神话物品|ランダムな神話アイテムを作る|임의의 신화 아이템 제작|Zufälliger Mythischer Gegenstand
craft_random_satanic|Craft random Satanic item|Valmista satunnainen Saatanallinen esine|criar item satânico aleatório|Случайный Сатанический предмет|工艺随机撒旦物品|ランダムな悪魔のアイテムを作る|무작위 사탄 아이템 제작|Zufälliger Satanischer Gegenstand
craft_random_satanic_a_tier|Craft random Tier A Satanic|Valmista satunnainen A tason Saatanallinen|Craft random Tier A Satanic|Craft random Tier A Satanic|Craft random Tier A Satanic|Craft random Tier A Satanic|Craft random Tier A Satanic|Craft random Tier A Satanic
craft_random_relic|Craft random Relic|Valmista satunnainen Aarre|criar relíquia aleatória|Создать случайную Реликвию|工艺随机遗物|ランダムな遺物を作る|무작위 유물 제작|Zufälliges Relikt
craft_reroll_token|Craft Re-roll Token|Valmista Uusiopoletti|token de re-roll artesanal|Создать Жетон Качества|工艺重投令牌|クラフトリロールトークン|크래프트 리롤 토큰|Reroll-Token
craft_satanic_amulet|Craft Satanic Amulet|Valmista Saatanallinen Amuletti|criar amuleto satânico|Создать Сатанический Амулет|工艺恶魔护身符|クラフト悪魔のお守り|사탄 부적 제작|Satanisches Amulett
craft_satanic_armor|Craft Satanic Body Armor|Valmista Saatanallinen Panssari|fabricar armadura corporal satânica|Создать Сатанический Нагрудник|工艺恶魔衣|悪魔のボディアーマーを作る|사탄 갑옷 제작|Satanischer Körperschutz
craft_satanic_boots|Craft Satanic Boots|Valmista Saatanalliset Saappaat|fazer botas satânicas|Создать Сатанические Ботинки|工艺恶魔靴|クラフト悪魔のブーツ|공예 사탄 부츠|Satanische Stiefel
craft_satanic_charm|Craft Satanic Charm|Valmista Saatanallinen Taikakalu|criar charme satânico|Создать Сатанический Оберег|工艺恶魔魅力|クラフト悪魔の魅力|사탄의 매력을 만들어라|Satanischer Charm
craft_satanic_dice|Craft Satanic Dice|Valmista Saatanallinen noppa|criar dados satânicos|Создать Дьявольские Кости|工艺恶魔骰子|悪魔のサイコロを作る|사탄 주사위 제작|Satanischer Würfel
craft_satanic_gloves|Craft Satanic Gloves|Valmista Saatanalliset Hanskat|fabricar luvas satânicas|Создать Сатанические Перчатки|工艺恶魔手套|悪魔の手袋を作る|공예 사탄 장갑|Satanische Handschuhe
craft_satanic_helmet|Craft Satanic Helmet|Valmista Saatanallinen Kypärä|fazer capacete satânico|Создать Сатанический Шлем|工艺恶魔头盔|クラフト悪魔のヘルメット|공예 사탄 헬멧|Satanischer Helm
craft_satanic_shield|Craft Satanic Shield|Valmista Saatanallinen Kilpi|criar escudo satânico|Создать Сатанический Щит|工艺恶魔盾|クラフト悪魔の盾|사탄 방패 제작|Satanisches Schild
craft_satanic_weapon|Craft Satanic Weapon|Valmista Saatanallinen Ase|fabricar arma satânica|Создать Сатаническое Оружие|工艺恶魔武器|悪魔の武器を作る|사탄 무기 제작|Satanische Waffe
craft_upgrade_token|Craft Upgrade Token|Valmista Päivityspoletti|token de atualização de fabricação|Создать Жетон Улучшения|工艺升级令牌|クラフトアップグレードトークン|공예 업그레이드 토큰|Aufrüst-Token
craft_wormhole_key|Craft Wormhole Key|Valmista Madonreiän avain|chave de buraco de minhoca artesanal|Создать Ключ Червоточины|工艺虫洞钥匙|クラフトワームホールキー|공예 웜홀 키|Wurmlochschlüssel
aura_1|Feint|Harhautus|Enganação|Притворство|假的|フェイント|양공|Antäuschen
aura_2|Mending|Parannus|Conserto|Покаяние|修补|補修|수리|Heilung
aura_3|Fanaticism|Fanaattisuus|Fanatismo|Фанатизм|狂热|熱狂|광신|Fanatismus
aura_4|Resistance|Vastustus|Resistência|Сопротивление|电阻|抵抗|저항|Widerstand
aura_5|Concentration|Keskittyminen|Concentração|Концентрация|浓度|集中|집중|Konzentration
aura_6|Holy Freeze|Pyhä jää|Congelamento Sagrado|Леденящий Взор|神圣的冻结|ホーリーフリーズ|신성한 동결|Heiliger Frost
aura_7|Holy Shock|Pyhä isku|Choque Sagrado|Небесная Кара|神圣震击|ホーリーショック|신성한 충격|Heiliger Schock
aura_10|Mana Pool|Mana Pool|Mana Pool|Mana Pool|Mana Pool|Mana Pool|Mana Pool|Mana Pool
aura_13|Thorns|Piikit|Espinhos|Шипы|荆棘|いばら|가시|Dornen
aura_15|Angel's Vibrance|Angel's Vibrance|Angel's Vibrance|Angel's Vibrance|Angel's Vibrance|Angel's Vibrance|Angel's Vibrance|Engelskraft
Aura_93|Mana Pool|Mana Pool|Mana Pool|Mana Pool|Mana Pool|Mana Pool|Mana Pool|Mana Pool
aura_desc_1|Grants you an aura that increases you and your allies movement speed|Grants you an aura that increases you and your allies movement speed|Grants you an aura that increases you and your allies movement speed|Grants you an aura that increases you and your allies movement speed|Grants you an aura that increases you and your allies movement speed|Grants you an aura that increases you and your allies movement speed|Grants you an aura that increases you and your allies movement speed|Gestattet dir und deine Verbündeten eine Geschwindigkeitaura
aura_desc_2|Grants you an aura that increases you and your allies health regeneration|Grants you an aura that increases you and your allies health regeneration|Grants you an aura that increases you and your allies health regeneration|Grants you an aura that increases you and your allies health regeneration|Grants you an aura that increases you and your allies health regeneration|Grants you an aura that increases you and your allies health regeneration|Grants you an aura that increases you and your allies health regeneration|Gestattet dir und deine Verbündeten eine Lebensregenerationsaura
aura_desc_3|Grants you an aura that increases you and your allies attack speed|Grants you an aura that increases you and your allies attack speed|Grants you an aura that increases you and your allies attack speed|Grants you an aura that increases you and your allies attack speed|Grants you an aura that increases you and your allies attack speed|Grants you an aura that increases you and your allies attack speed|Grants you an aura that increases you and your allies attack speed|Gestattet dir und deine Verbündeten eine Angriffsgeschwindigkeitsaura
aura_desc_4|Grants you an aura that increases you and your allies all resistance|Grants you an aura that increases you and your allies all resistance|Grants you an aura that increases you and your allies all resistance|Grants you an aura that increases you and your allies all resistance|Grants you an aura that increases you and your allies all resistance|Grants you an aura that increases you and your allies all resistance|Grants you an aura that increases you and your allies all resistance|Gestattet dir und deine Verbündeten eine Widerstandsaura
aura_desc_5|Grants you an aura that increases you and your allies attack damage|Grants you an aura that increases you and your allies attack damage|Grants you an aura that increases you and your allies attack damage|Grants you an aura that increases you and your allies attack damage|Grants you an aura that increases you and your allies attack damage|Grants you an aura that increases you and your allies attack damage|Grants you an aura that increases you and your allies attack damage|Gestattet dir und deine Verbündeten eine Angriffsstärkeaura
aura_desc_6|Grants you an aura that increases you and your allies a chilling aura|Grants you an aura that increases you and your allies a chilling aura|Grants you an aura that increases you and your allies a chilling aura|Grants you an aura that increases you and your allies a chilling aura|Grants you an aura that increases you and your allies a chilling aura|Grants you an aura that increases you and your allies a chilling aura|Grants you an aura that increases you and your allies a chilling aura|Gestattet dir und deine Verbündeten eine frierende Aura
aura_desc_7|Grants you an aura that increases you and your allies a shocking aura|Grants you an aura that increases you and your allies a shocking aura|Grants you an aura that increases you and your allies a shocking aura|Grants you an aura that increases you and your allies a shocking aura|Grants you an aura that increases you and your allies a shocking aura|Grants you an aura that increases you and your allies a shocking aura|Grants you an aura that increases you and your allies a shocking aura|Gestattet dir und deine Verbündeten eine schockierende Aura
aura_desc_10|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Gestattet dir und deine Verbündeten eine Manaregenerationsaura
aura_desc_13|Grants you an aura that increases you and your allies damage return|Grants you an aura that increases you and your allies damage return|Grants you an aura that increases you and your allies damage return|Grants you an aura that increases you and your allies damage return|Grants you an aura that increases you and your allies damage return|Grants you an aura that increases you and your allies damage return|Grants you an aura that increases you and your allies damage return|Gestattet dir und deine Verbündeten eine Dornenaura
aura_desc_15|Grants you power of the Angel’s providing you and your allies every buff in the game|Grants you power of the Angel’s providing you and your allies every buff in the game|Grants you power of the Angel’s providing you and your allies every buff in the game|Grants you power of the Angel’s providing you and your allies every buff in the game|Grants you power of the Angel’s providing you and your allies every buff in the game|Grants you power of the Angel’s providing you and your allies every buff in the game|Grants you power of the Angel’s providing you and your allies every buff in the game|Segnet dich mit Engelskraft welche dir jede Aura gestattet
aura_desc_93|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Grants you an aura that increases you and your allies mana regeneration|Gestattet dir und deine Verbündeten eine Manaregenerationsaura
[Professions]||||||||
mining|Mining|Louhiminen|Mineração|Шахтерское Мастерство|矿业|採掘|채굴|Bergbau
copper_ore|Copper Ore|Kuparimalmi|Minério de Cobre|Медная руда|铜矿石|銅鉱石|구리광석|Kupfererz
iron_ore|Iron Ore|Rautamalmi|Minério de Ferro|Железная руда|铁矿石|鉄鉱石|철광석|Eisenerz
